TICKET NO,SERIAL NO,VALID FROM(DD-MM-YYYY),VALID TILL(DD-MM-YYYY)
31000127035430200000',Testboth,21/03/2023,08/08/2023
31000127035381900000',Testboth,21/03/2023,08/08/2023
31000127035316300000',Testboth,21/03/2023,08/08/2023
31000127035407200000',Testboth,21/03/2023,08/08/2023
31000127028188900000',Testboth,21/03/2023,08/08/2023
31000127028285500000',Testboth,21/03/2023,08/08/2023
31000127028306400000',Testboth,21/03/2023,08/08/2023
31000127028226700000',Testboth,21/03/2023,08/08/2023
31000127027981000000',Testboth,21/03/2023,08/08/2023
31000127027932500000',Testboth,21/03/2023,08/08/2023
