TICKET NO,SERIAL NO,VALID FROM(DD-MM-YYYY),VALID TILL(DD-MM-YYYY)
 00100020046200386404,386404,09/08/2023,09/10/2023
 00100020046200386406,386406,09/08/2023,09/10/2023
 00100020046200386408,386408,09/08/2023,09/10/2023
 00100020046200386410,386410,09/08/2023,09/10/2023
 00100020046200386412,386412,09/08/2023,09/10/2023
 00100020046200386414,386414,09/08/2023,09/10/2023
 00100020046200386416,386416,09/08/2023,09/10/2023
 00100020046200386418,386418,09/08/2023,09/10/2023
 00100020046200386420,386420,09/08/2023,09/10/2023
 00100020046200386422,386422,09/08/2023,09/10/2023
